代码,名称,类别,AUM,日均量,剔除原因,剔除说明,主题
COPP,Sprott Copper Miners ETF,Natural Resources,304235808.0,101450.0,dedup,同主题「铜矿」，代表为 COPX Global X Copper Miners ETF,铜矿
COPX,Global X Copper Miners ETF,Natural Resources,8443984900.0,3010357.0,,,铜矿
CRAK,VanEck Oil Refiners ETF,Equity Energy,452384160.0,393304.0,,,炼油
CSEN,Cohen & Steers Future of Energy,Equity Energy,0.0,36844.0,illiquid,规模 0.00 亿美元 ≤ 2 亿,
CSRE,Cohen & Steers Real Estate Acti,Real Estate,572797380.0,143580.0,dedup,同主题「房地产REIT」，代表为 IYR iShares U.S. Real Estate ETF,房地产REIT
DFAR,Dimensional US Real Estate ETF,Real Estate,1736720000.0,2621396.0,dedup,同主题「房地产REIT」，代表为 IYR iShares U.S. Real Estate ETF,房地产REIT
DFNL,Davis Select Financial ETF,Financial,483099040.0,34176.0,illiquid,3 月日均量 3.4 万股 ≤ 10 万股,
DISK,Tema Memory ETF,Technology,0.0,322465.0,illiquid,规模 0.00 亿美元 ≤ 2 亿,
DRAM,Roundhill Memory ETF,Technology,26017624100.0,56649228.0,,,存储芯片
DRIV,Global X Autonomous & Electric ,Miscellaneous Sector,373723328.0,45093.0,illiquid,3 月日均量 4.5 万股 ≤ 10 万股,
DRNZ,REX Drone ETF,Industrials,115467816.0,137033.0,illiquid,规模 1.15 亿美元 ≤ 2 亿,
DTCR,Global X Data Center & Digital ,Real Estate,2143491710.0,1018453.0,,,数据中心REIT
EIPX,FT Energy Income Partners Strat,Equity Energy,583982140.0,38817.0,illiquid,3 月日均量 3.9 万股 ≤ 10 万股,
ELFY,ALPS Electrification Infrastruc,Utilities,195955120.0,36669.0,illiquid,规模 1.96 亿美元 ≤ 2 亿,
EUAD,Select STOXX Europe Aerospace &,Industrials,1142662270.0,153385.0,,,国防·欧洲
EUV,Corgi Lithography & Semiconduct,Technology,425545664.0,940298.0,,,半导体设备
EXI,iShares Global Industrials ETF,Industrials,1431256960.0,56004.0,illiquid,3 月日均量 5.6 万股 ≤ 10 万股,
FAI,First Trust Bloomberg Artificia,Technology,174642336.0,59865.0,illiquid,规模 1.75 亿美元 ≤ 2 亿,
FAN,First Trust Global Wind Energy ,Miscellaneous Sector,244763264.0,96877.0,illiquid,3 月日均量 9.7 万股 ≤ 10 万股,
FBT,First Trust Amex Biotech Index ,Health,2913227260.0,72655.0,illiquid,3 月日均量 7.3 万股 ≤ 10 万股,
FCG,First Trust Natural Gas ETF,Equity Energy,676024130.0,746373.0,,,天然气
FCLD,Fidelity Cloud Computing ETF,Technology,144661520.0,28258.0,illiquid,规模 1.45 亿美元 ≤ 2 亿,
FCOM,Fidelity MSCI Communication Ser,Communications,1792066430.0,237253.0,dedup,同主题「通信服务」，代表为 XLC State Street Communication Serv,通信服务
FDIS,Fidelity MSCI Consumer Discreti,Consumer Cyclical,1692495100.0,80058.0,illiquid,3 月日均量 8.0 万股 ≤ 10 万股,
FDN,First Trust DJ Internet Index F,Technology,5410252800.0,267684.0,,,互联网
