序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
140,MLOps概念,18,1006.31,4.39%,13.51,13.69,-0.17
141,特斯拉概念,249,5380.1,4.38%,349.19,353.79,-4.59
142,AI应用,548,860.51,4.38%,374.8,392.11,-17.31
143,人工智能,1085,1308.45,4.37%,882.03,939.3,-57.26
144,虚拟现实,288,1011.75,4.37%,347.4,375.5,-28.1
145,房屋检测,45,1646.61,4.31%,12.53,12.75,-0.22
146,横琴新区,42,1866.07,4.31%,29.53,28.89,0.64
147,商业航天,507,2189.56,4.30%,852.13,871.77,-19.64
148,多模态AI,158,1278.26,4.30%,114.19,128.42,-14.23
149,智慧灯杆,63,1553.93,4.30%,32.99,38.22,-5.23
150,ERP概念,35,1322.18,4.29%,14.58,14.41,0.17
151,云办公,49,1813.11,4.28%,41.76,37.44,4.32
152,卫星导航,280,4545.01,4.27%,416.2,408.98,7.22
153,物联网,472,3005.28,4.26%,463.92,513.66,-49.75
154,养老概念,224,2130.83,4.25%,123.84,114.6,9.24
155,深股通,1887,1314.62,4.23%,2394.13,2440.22,-46.09
156,华为汽车,174,2807.43,4.22%,165.44,162.01,3.43
157,无人驾驶,408,2871.35,4.21%,628.02,669.86,-41.84
158,信创,303,1970.57,4.17%,239.17,249.41,-10.24
159,股权转让(并购重组),586,1118.24,4.16%,374.58,381.83,-7.25
160,数据确权,69,1454.58,4.16%,39.42,40.76,-1.34
161,露营经济,55,1646.65,4.15%,16.09,16.28,-0.19
162,柔性直流输电,67,1528.03,4.13%,117.42,138.97,-21.55
163,安防,179,4788.88,4.12%,132.65,132.64,0.01
164,芬太尼,8,2143.24,4.12%,1.66,1.42,0.24
165,知识产权保护,51,1747.93,4.10%,25.72,27.7,-1.98
166,拼多多概念,40,1643.71,4.08%,16.67,18.4,-1.74
167,可降解塑料,174,1538.13,4.07%,54.53,60.34,-5.8
168,阿里巴巴概念,696,1920.52,4.06%,472.67,542.57,-69.9
169,共同富裕示范区,192,1496.5,4.01%,98.87,96.12,2.76
170,汽车拆解概念,46,1561.46,4.00%,17.93,20.67,-2.74
171,车联网(车路协同),297,1138.9,3.98%,247.2,250.49,-3.29
172,高端装备,399,3287.54,3.97%,366.95,412.33,-45.38
173,华为鲲鹏,176,1332.28,3.97%,115.14,119.36,-4.22
174,AI智能体,463,1346.76,3.95%,362.59,382.65,-20.07
175,电力物联网,85,1975.16,3.94%,41.3,44.71,-3.41
176,ChatGPT概念,140,1758.47,3.94%,124.13,130.3,-6.17
177,稀土永磁,65,3540.59,3.93%,73.54,69.14,4.4
178,语音技术,62,1843.39,3.92%,35.18,39.86,-4.67
179,工业互联网,441,2655.57,3.89%,491.32,527.06,-35.74
180,量子科技,116,2459.04,3.88%,209.6,252.92,-43.32
181,物业管理,183,1205.71,3.87%,93.53,97.99,-4.45
182,鸿蒙概念,262,1753.56,3.85%,148.26,157.69,-9.43
183,DeepSeek概念,770,1616.03,3.85%,742.69,777.35,-34.66
184,特高压,132,5053.15,3.83%,234.76,266.46,-31.69
185,同花顺新质50,50,2241.6,3.82%,322.98,347.37,-24.39
186,小米汽车,122,1529.96,3.82%,148.47,143.26,5.2
187,腾讯概念,300,1320.37,3.81%,388.83,429.25,-40.43
188,钠离子电池,143,1223.09,3.77%,183.26,174.1,9.17
189,福建自贸区,127,1616.52,3.77%,127.69,130.72,-3.03
190,抖音概念(字节概念),218,1674.67,3.76%,332.16,373.87,-41.71
191,无人机,466,3043.01,3.75%,546.79,546.78,0.01
192,2026一季报预增,101,1191.11,3.75%,296.34,304.8,-8.45
193,工业大麻,31,1471.73,3.73%,17.57,14.0,3.57
194,数字货币,91,1945.83,3.72%,69.14,71.73,-2.59
195,沪股通,1645,2400.91,3.72%,2242.82,2333.95,-91.13
196,AIGC概念,296,2009.96,3.71%,246.73,267.14,-20.41
197,充电桩,390,6433.69,3.71%,404.41,439.92,-35.52
198,独角兽概念,108,1952.78,3.70%,150.51,172.89,-22.38
