代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,折算修正,RS5,RS20,RS60,板块,板块5日资金净额_亿,板块当日广度_%,板块当日涨跌_%
sz159366,港股医疗ETF永赢,2026-09-18,1.462,6.25,-2.79,29.5,59.1,-15.05,1.4457,1.3595,多头排列,1.6,272975032.0,352,0,88.0,35.9,99.1,,,,
sh588760,科创人工智能ETF广发,2026-09-18,0.74,6.17,0.54,-18.5,17.4,-25.4,0.7254,0.7905,均线纠缠偏空,0.44,134055487.7,402,1,87.2,69.7,18.8,软件开发,4.14,91.3,2.4
sz159892,恒生医药ETF华夏,2026-09-18,0.798,5.28,-2.56,27.88,51.1,-18.4,0.7985,0.7575,均线纠缠偏多,0.67,587470674.8,1197,0,86.3,39.3,97.4,,,,
sh513120,港股创新药ETF广发,2026-09-18,1.293,5.21,-2.78,28.02,52.9,-18.01,1.2964,1.2276,均线纠缠偏多,0.76,5605254512.05,1019,0,85.5,36.8,98.3,,,,
sz159102,港股通生物科技ETF华安,2026-09-18,0.83,5.2,-2.58,27.11,54.0,-16.33,0.8293,0.7882,多头排列,0.48,39970973.1,245,0,84.6,38.0,95.7,,,,
sz159105,恒生生物科技ETF易方达,2026-09-18,0.94,5.15,-2.99,27.2,65.5,-10.9,0.9416,0.894,均线纠缠偏多,0.6,93454699.45,217,0,83.8,35.0,96.6,,,,
sz159707,地产ETF华宝,2026-09-18,0.493,5.12,1.23,13.86,21.3,-32.09,0.4804,0.4725,多头排列,0.85,65477028.65,1179,0,82.9,83.8,86.3,房地产,0.85,93.0,3.68
sh588130,科创医药ETF华夏,2026-09-18,0.992,5.08,-7.46,8.53,21.1,-23.81,0.9974,1.0248,空头排列,0.85,77842977.45,323,0,82.1,14.1,73.5,化学制药,18.48,97.5,4.67
sh513200,港股通医药ETF易方达,2026-09-18,1.065,4.82,-3.71,25.15,45.8,-20.52,1.0708,1.022,均线纠缠偏多,0.54,126206304.15,1120,0,81.2,31.6,94.9,,,,
sz159939,信息技术ETF广发,2026-09-18,1.114,4.8,0.54,-19.74,47.1,-24.83,1.0852,1.158,均线纠缠偏空,0.4,30326174.3,2825,1,80.3,69.7,14.5,IT服务,-3.12,81.9,1.5
sz159663,机床ETF华夏,2026-09-18,0.996,4.73,-0.6,-22.73,48.1,-26.0,0.9765,1.0364,均线纠缠偏空,0.52,74497123.5,949,1,79.5,56.8,9.4,通用设备,11.44,81.3,1.74
sz159859,生物医药ETF天弘,2026-09-18,0.392,4.53,-5.54,16.67,52.2,-14.41,0.3915,0.3907,多头排列,0.57,143705763.95,1264,0,78.6,20.5,91.5,生物制品,6.63,98.2,4.64
sz159997,电子ETF天弘,2026-09-18,2.114,4.5,0.67,-20.59,48.1,-26.19,2.0587,2.2072,均线纠缠偏空,0.81,96331697.35,1579,0,77.8,73.5,12.0,,,,
sz159667,工业母机ETF国泰,2026-09-18,0.663,4.41,-1.04,-24.49,45.5,-27.86,0.6509,0.6943,均线纠缠偏空,0.45,129713920.4,949,1,76.9,54.7,6.0,通用设备,11.44,81.3,1.74
sz159206,卫星ETF永赢,2026-09-18,1.385,4.37,2.29,-17.17,25.3,-37.07,1.3477,1.4189,均线纠缠偏空,0.25,346987534.8,372,0,76.1,90.6,22.2,军工电子,-1.17,82.0,1.58
sh515880,通信ETF国泰,2026-09-18,0.704,4.3,3.99,-16.42,61.6,-22.02,0.6657,0.6851,均线纠缠偏多,0.69,3001529953.1,1706,2,75.2,93.2,23.9,通信设备,-66.79,78.0,1.77
sz159506,港股通创新药医疗ETF富国,2026-09-18,1.265,4.29,-4.24,22.58,34.3,-26.11,1.2821,1.2406,均线纠缠偏多,0.67,489285738.3,783,0,74.4,29.9,93.2,,,,
sh513060,恒生医疗ETF博时,2026-09-18,0.571,4.2,-3.38,23.33,37.8,-24.07,0.5744,0.5517,均线纠缠偏多,0.54,415884594.85,1331,0,73.5,32.5,94.0,,,,
sz159837,生物科技ETF易方达,2026-09-18,0.494,4.0,-5.0,14.09,47.3,-15.12,0.495,0.4932,均线纠缠偏多,0.56,30193313.65,1369,0,72.6,25.6,87.2,生物制品,6.63,98.2,4.64
sz159992,创新药ETF银华,2026-09-18,0.835,3.99,-6.49,10.89,45.7,-15.4,0.8426,0.8611,空头排列,0.5,733197712.25,1565,0,71.4,16.2,76.9,化学制药,18.48,97.5,4.67
sh512930,AI人工智能ETF平安,2026-09-18,0.625,3.99,0.64,-15.54,44.9,-21.19,0.6098,0.6578,均线纠缠偏空,0.52,108664935.6,1716,1,71.4,71.4,24.8,软件开发,4.14,91.3,2.4
sh512170,医疗ETF华宝,2026-09-18,0.34,3.98,-2.58,14.86,46.2,-14.36,0.3384,0.3321,多头排列,0.55,377543566.65,1764,1,70.1,38.0,88.9,医疗服务,21.15,98.2,5.1
